-DOCSTART- -X- -X- O

Choisich coisich Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
dhachaigh dhachaigh _ ADV
air air _ ADP
a a Gender=Masc|Number=Sing|Person=3 DET
shocair socair Case=Dat|Gender=Fem|Number=Sing NOUN
. . _ PUNCT

An an _ ADV
uair uair _ ADV
sin sin _ ADV
, , _ PUNCT
bheir toir Tense=Fut VERB
thusa thu Number=Sing|Person=2|PronType=Emp PRON
dhomh do Number=Sing|Person=1 ADP
an an Gender=Masc|Number=Sing DET
t-airgead airgead Case=Nom|Gender=Masc|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
chruinnicheas chruinnich Tense=Fut VERB
tu thu Number=Sing|Person=2 PRON
aig aig _ ADP
an an Gender=Masc|Number=Sing DET
doras doras Case=Dat|Gender=Masc|Number=Sing NOUN
. . _ PUNCT

Thug toir Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
aon aon _ NUM
sealladh sealladh Case=Nom|Gender=Masc|Number=Sing NOUN
thar thar _ ADP
a’ an Gender=Fem|Number=Sing DET
ghualainn gualainn Case=Dat|Gender=Fem|Number=Sing NOUN
dheis deis Case=Dat|Gender=Fem|Number=Sing ADJ
mun mun _ SCONJ
do do Tense=Past PART
dhùin dùin Tense=Past VERB
slios slios Case=Nom|Gender=Masc|Number=Sing NOUN
fada fada Case=Nom|Gender=Masc|Number=Sing ADJ
Bruach Bruach _ PROPN
na na _ PROPN
Frìthe Frìthe _ PROPN
Coire Coire _ PROPN
na na _ PROPN
Creiche Creiche _ PROPN
air air _ ADP
a a Gender=Masc|Number=Sing|Person=3 DET
chùlaibh cùlaibh _ ADP
. . _ PUNCT

'Na an _ ADP
aodach aodach Case=Dat|Gender=Masc|Number=Sing NOUN
dorch dorch Case=Dat|Gender=Masc|Number=Sing ADJ
leis le _ ADP
a’ an Gender=Masc|Number=Sing DET
chrios crios Case=Dat|Gender=Masc|Number=Sing NOUN
ròpa ròpa Case=Gen|Gender=Masc|Number=Sing NOUN
mun mun _ ADP
cuairt cuairt Case=Dat|Gender=Fem|Number=Sing NOUN
air air Gender=Masc|Number=Sing|Person=3 ADP
. . _ PUNCT

Tha bi Tense=Pres VERB
seo seo _ PRON
mar mar _ ADP
mheadhon meadhon Case=Dat|Gender=Masc|Number=Sing NOUN
priseil priseil Case=Dat|Gender=Masc|Number=Sing ADJ
air air _ ADP
lorg lorg VerbForm=Vnoun NOUN
a-mach a-mach _ ADV
a' an Case=Gen|Gender=Masc|Number=Sing DET
chàirdeis càirdeis Case=Gen|Gender=Masc|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
tha bi Tense=Pres VERB
aig aig _ ADP
cuid cuid Case=Dat|Gender=Fem|Number=Sing NOUN
de de _ ADP
shluaghan sluagh Case=Dat|Gender=Masc|Number=Plur NOUN
ri ri _ ADP
